ID,Dateiname,Kapitel,Ordner,Sektion,Jahr,Technik,Maße,Preis,Verfügbarkeit,Text
WG-01-001,WG-Aquarell-1960-02.jpg,01 28 Jahre alt,01 28 Jahre alt, Aquarell - 1960,1960,1960,Aquarell,—,,,
WG-01-002,WG-Aquarell-1960-03.jpg,01 28 Jahre alt,01 28 Jahre alt, Aquarell - 1960,1960,1960,Aquarell,—,,,
WG-01-003,WG-Aquarell-1960-04.jpg,01 28 Jahre alt,01 28 Jahre alt, Aquarell - 1960,1960,1960,Aquarell,—,,,
WG-01-004,WG-Aquarell-1960-05.jpg,01 28 Jahre alt,01 28 Jahre alt, Aquarell - 1960,1960,1960,Aquarell,—,,,
WG-01-005,WG-Aquarell-1960-06.jpg,01 28 Jahre alt,01 28 Jahre alt, Aquarell - 1960,1960,1960,Aquarell,—,,,
WG-02-001,WG-Ölmalerei-1960-07.jpg,02 Knalliges Acryl,02 Knalliges Acryl 1970,1970,1960,Ölmalerei,—,,,
WG-02-002,WG-Ölmalerei-1960-08.jpg,02 Knalliges Acryl,02 Knalliges Acryl 1970,1970,1960,Ölmalerei,—,,,
WG-02-003,WG-Ölmalerei-1960-09.jpg,02 Knalliges Acryl,02 Knalliges Acryl 1970,1970,1960,Ölmalerei,—,,,
WG-02-004,WG-Ölmalerei-1960-10.jpg,02 Knalliges Acryl,02 Knalliges Acryl 1970,1970,1960,Ölmalerei,—,,,
WG-02-005,WG-Ölmalerei-1960-11.jpg,02 Knalliges Acryl,02 Knalliges Acryl 1970,1970,1960,Ölmalerei,—,,,
WG-03-001,WG-Grafik-1972-1974-01.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-002,WG-Grafik-1972-1974-02.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-003,WG-Grafik-1972-1974-03.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-004,WG-Grafik-1972-1974-04.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-005,WG-Grafik-1972-1974-05.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-006,WG-Grafik-1972-1974-06.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-007,WG-Grafik-1972-1974-07.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-008,WG-Grafik-1972-1974-08.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-009,WG-Grafik-1972-1974-09.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-010,WG-Grafik-1972-1974-10.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-011,WG-Grafik-1972-1974-12.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-012,WG-Grafik-1972-1974-13.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-013,WG-Grafik-1972-1974-16.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-014,WG-Grafik-1972-1974-17.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-015,WG-Grafik-1972-1974-18.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-016,WG-Grafik-1972-1974-19.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-017,WG-Grafik-1972-1974-20.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-018,WG-Grafik-1972-1974-21.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-019,WG-Grafik-1972-1974-22.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-020,WG-Grafik-1972-1974-23.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-021,WG-Grafik-1972-1974-24.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-022,WG-Grafik-1972-1974-25.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-023,WG-Grafik-1972-1974-26.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-024,WG-Grafik-1972-1974-27.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-025,WG-Grafik-1972-1974-28.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-026,WG-Grafik-1972-1974-29.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-027,WG-Grafik-1972-1974-30.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-028,WG-Grafik-1972-1974-31.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-029,WG-Grafik-1972-1974-32.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-030,WG-Grafik-1972-1974-33.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-031,WG-Grafik-1972-1974-34.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-032,WG-Grafik-1972-1974-35.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-033,WG-Grafik-1972-1974-36.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-034,WG-Grafik-1972-1974-37.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-035,WG-Grafik-1972-1974-38.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-036,WG-Grafik-1972-1974-39.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-037,WG-Grafik-1972-1974-40.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-038,WG-Grafik-1972-1974-41.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-039,WG-Grafik-1972-1974-42.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-040,WG-Grafik-1972-1974-43.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-041,WG-Grafik-1972-1974-44.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-042,WG-Grafik-1972-1974-45.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-043,WG-Grafik-1972-1974-46.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-044,WG-Grafik-1972-1974-47.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-045,WG-Grafik-1972-1974-48.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-046,WG-Grafik-1972-1974-49.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-047,WG-Grafik-1972-1974-50.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-048,WG-Grafik-1972-1974-51.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-049,WG-Grafik-1972-1974-59.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-03-050,WG-Grafik-1972-1974-60.jpg,03 Frühe Radierungen,03 früher Radierungen 1972-1974,1972-1974,1972,Radierung,—,,,
WG-04-001,WG-Holzschnitt-1973 Blaue Masken.jpg,04 Holzschnitte,04 Holzschnitte 1973-1974 ,1973-1974,1973,Holzschnitt,—,,,
WG-04-002,WG-Holzschnitt-1973 Rote Masken.jpg,04 Holzschnitte,04 Holzschnitte 1973-1974 ,1973-1974,1973,Holzschnitt,—,,,
WG-04-003,WG-Holzschnitt-1974 Farn 01.jpg,04 Holzschnitte,04 Holzschnitte 1973-1974 ,1973-1974,1974,Holzschnitt,—,,,
WG-04-004,WG-Holzschnitt-1974 Farn 02.jpg,04 Holzschnitte,04 Holzschnitte 1973-1974 ,1973-1974,1974,Holzschnitt,—,,,
WG-04-005,WG-Holzschnitt-1974 Farn 03.jpg,04 Holzschnitte,04 Holzschnitte 1973-1974 ,1973-1974,1974,Holzschnitt,—,,,
WG-04-006,WG-Holzschnitt-1974 Farn 04.jpg,04 Holzschnitte,04 Holzschnitte 1973-1974 ,1973-1974,1974,Holzschnitt,—,,,
WG-04-007,WG-Holzschnitt-1974 Menschen 01.jpg,04 Holzschnitte,04 Holzschnitte 1973-1974 ,1973-1974,1974,Holzschnitt,—,,,
WG-04-008,WG-Holzschnitt-1974 Menschen 02.jpg,04 Holzschnitte,04 Holzschnitte 1973-1974 ,1973-1974,1974,Holzschnitt,—,,,
WG-04-009,WG-Holzschnitt-1974 Menschen 03.jpg,04 Holzschnitte,04 Holzschnitte 1973-1974 ,1973-1974,1974,Holzschnitt,—,,,
WG-05-001,WG-Ölgemälde-1974-01.jpg,05 Ölmalerei 1974,05 Ölmalerei 1974,1974,1974,Ölgemälde,—,,,
WG-05-002,WG-Ölgemälde-1974-02.jpg,05 Ölmalerei 1974,05 Ölmalerei 1974,1974,1974,Ölgemälde,—,,,
